epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,1.3444296836853045,0.1,0.0,0.05326919518690775,0.05063157218820732,10135.820551929995,30
1,1.9049850463867188,0.13333333333333333,0.0,0.08713925672159407,0.02361178736054581,22979.697265998857,30
2,1.9026398658752464,0.3333333333333333,0.0,0.08653032179638656,0.008267160088808085,49807.23278914733,30
3,1.5680925369262682,0.43333333333333335,0.0,0.11633525585896633,0.012063929649807414,41707.21122253911,30
4,1.7125534057617173,0.4666666666666667,0.0,0.11455000409912791,0.013156349626153134,50026.549343205355,30
5,1.7965083122253418,0.3333333333333333,0.0,0.1043907623968576,0.006732121045725031,72106.67710622535,30
6,2.272381877899171,0.4,0.0,0.15220680734243464,0.011301712214485716,61384.34414689898,30
7,2.508750820159912,0.36666666666666664,0.0,0.14281997616406264,0.014389915032751277,78257.39368843516,30
8,2.6545230865478517,0.43333333333333335,0.0,0.14823680692770128,0.012555143005362224,110090.66061712285,30
9,2.770873069763182,0.3333333333333333,0.0,0.1428906351655851,0.009742449311574222,143076.17180490115,30
10,2.8102955818176256,0.3,0.0,0.14375551007549411,0.008410856969671015,163871.2625899301,30
11,2.5250295639038103,0.3,0.0,0.14072686615261357,0.00995692628994017,184546.68564424658,30
12,2.5802521705627446,0.3,0.0,0.14007351523553022,0.009241099705473843,186010.6355844804,30
13,2.5184880256652815,0.3,0.0,0.14172403592622057,0.009073089439142685,185807.0283292322,30
14,2.612632369995119,0.3333333333333333,0.0,0.1428880474381596,0.009027120246139143,187298.27188722583,30
15,2.6204977035522465,0.3333333333333333,0.0,0.14476221530803712,0.00901201288152641,185587.04157592042,30
16,2.5271433830261216,0.36666666666666664,0.0,0.1429443258799284,0.008996535092656483,188098.28293523105,30
17,2.5313008308410647,0.36666666666666664,0.0,0.1427106964540607,0.008983629694461497,189783.215199129,30
18,2.533491611480713,0.3333333333333333,0.0,0.14054591258994203,0.008982207448239445,190470.0201200834,30
19,2.53346700668335,0.3333333333333333,0.0,0.14054365262711313,0.008982173149697108,190496.57261455292,30
