epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,0.060178136825561564,0.23333333333333334,0.0,0.004729730712255337,0.002232758715077951,247.24765553811972,30
1,0.0847666740417481,0.06666666666666667,0.0,0.00452054659608073,0.0002799469087654492,255.36733765201905,30
2,0.18109178543090826,0.1,0.0,0.01473303295847039,0.0015800406653970161,252.18513458995267,30
3,0.149242639541626,0.1,0.0,0.011673157989974687,0.0007215905941184733,265.2318261379785,30
4,0.17405948638915938,0.1,0.0,0.012883732732875417,0.0010005395359077801,257.86858242076954,30
5,0.22429461479187016,0.1,0.0,0.014929618920779951,0.0038871767323784725,250.61795783747675,30
6,0.211409616470337,0.1,0.0,0.01772073983464284,0.0042980156517636444,253.81727457921158,30
7,0.1812535285949707,0.1,0.0,0.01480664098028748,0.0038059169730154164,257.1697377207272,30
8,0.13566904067993166,0.2,0.0,0.01378956827672087,0.003275737905942518,260.941817628809,30
9,0.19172415733337403,0.1,0.0,0.018074407740337344,0.003896879805780767,253.09224597313928,30
10,0.23462429046630864,0.06666666666666667,0.0,0.017492324154042244,0.005553184221571759,252.22913635386044,30
11,0.2031918525695801,0.0,0.0,0.015476253144700145,0.004001050143306986,255.23892839077612,30
12,0.2200349330902099,0.06666666666666667,0.0,0.017536393190293802,0.005975596975073017,254.05994171122472,30
13,0.18345503807067876,0.06666666666666667,0.0,0.014443160509018591,0.00598964072169822,254.160209161889,30
14,0.21319289207458506,0.1,0.0,0.020495657636125462,0.006477849733220829,250.36894177843007,30
15,0.2618039131164551,0.03333333333333333,0.0,0.018843808967211384,0.007109335163398847,251.03668661358031,30
16,0.26218891143798834,0.03333333333333333,0.0,0.020133165338102842,0.0073175435171915545,250.10649960270973,30
17,0.2566210269927979,0.0,0.0,0.02073705553190596,0.007246043079282188,249.88715134888454,30
18,0.26792845726013187,0.0,0.0,0.020506296055382168,0.00728480353784262,250.92832237092938,30
19,0.25091328620910647,0.0,0.0,0.019302947919846738,0.006966178791764865,251.8934916702819,30
