epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,6.059009099006653,0.4675,0.3475,0.8400962068151778,0.8383844437217942,3.0470161983977038,400
1,6.293179154396057,0.615,0.61,0.9431378391123654,0.9403720474878813,1.4903839716420386,400
2,7.57914617061615,0.495,0.5775,0.9625761405507575,0.9584504245558222,1.3084665384045713,400
3,8.364773726463318,0.45,0.6775,0.96754743984794,0.9609882256375935,1.2891711221279962,400
4,9.211952996253968,0.365,0.575,0.9690995131576944,0.9621336570751222,1.278402783696785,400
5,8.882098150253297,0.5025,0.6025,0.9668085452631909,0.9586644936125779,1.3108817184922696,400
6,9.111856698989868,0.44,0.5075,0.9647023868789109,0.9554627879847922,1.337542167621731,400
7,8.907684230804444,0.505,0.685,0.9645448591065445,0.9550791355316807,1.3412544760309768,400
8,8.734494376182557,0.5375,0.53,0.9644232402404492,0.9542547620392472,1.3464981562458511,400
9,9.036129653453829,0.54,0.5675,0.9677334776050788,0.9571627619372035,1.3237605872225608,400
10,9.27800455093384,0.4975,0.4375,0.9693555416916584,0.9581022198125148,1.3112329288718292,400
11,9.29111787080765,0.5425,0.415,0.9684648582404126,0.9551475577081707,1.3362514885731662,400
12,9.6237943649292,0.44,0.28,0.9620585599513086,0.9475817965949624,1.4022300109703292,400
13,9.76609160900116,0.4725,0.185,0.9687609302528831,0.9540473084280408,1.3458665120327487,400
14,9.463740682601928,0.56,0.175,0.9681405511336362,0.952593616091045,1.3567538865171254,400
15,9.806210017204284,0.5175,0.1675,0.9673182121480111,0.9510304178783775,1.3710186706085963,400
16,9.90731203556061,0.5225,0.1775,0.966563294738041,0.9493674751145611,1.3863123503878774,400
17,10.004578661918643,0.515,0.155,0.9654034393239292,0.9473348009278899,1.4051468755632075,400
18,10.117121052742005,0.4975,0.1275,0.9644169859987829,0.9456072062372545,1.4215487199160193,400
19,10.151087212562562,0.4925,0.1325,0.9643128155099444,0.945396450677846,1.423415806246683,400
