epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,4.970622724294662,0.5275,0.0,0.6970986857065498,0.6967362212819552,7.400349407576743,400
1,5.3427265346050286,0.62,0.0,0.8352065589105415,0.8292836150683729,2.964143925569607,400
2,5.560055720806122,0.675,0.0,0.9013166263046943,0.8945376464363487,1.9494960288419991,400
3,6.0500655531883245,0.68,0.0025,0.9273823978359359,0.9186876402602738,1.6710589508793061,400
4,6.57434937953949,0.665,0.0,0.9396605949161387,0.9296851567068114,1.5571101349722007,400
5,6.784222579002381,0.7025,0.0025,0.947278154385245,0.9350826559027908,1.502438404604554,400
6,7.13398255109787,0.67,0.0,0.9524011689890983,0.9394212836126272,1.461271758761671,400
7,7.5977878332138085,0.64,0.0025,0.9562494781210198,0.9418976108584571,1.4382163130154129,400
8,7.522146284580232,0.7125,0.0025,0.9592984119182401,0.9446412774798121,1.4134887124629514,400
9,7.753474855422975,0.685,0.0,0.960442168025663,0.9452705409211205,1.4079844455550823,400
10,7.930180954933166,0.6925,0.0,0.9630944053643071,0.9477512525538349,1.3849259470540933,400
11,7.854938459396363,0.705,0.0,0.9637598640899925,0.9485801286512736,1.3765989106923364,400
12,7.985140812397003,0.7125,0.0,0.9645493697353785,0.9490679048439659,1.372950225009175,400
13,7.9110018610954285,0.735,0.0025,0.9653997037573315,0.950032337889497,1.3645134857531749,400
14,8.037536680698395,0.71,0.0,0.9654137484779142,0.9499699622614124,1.3645663948874898,400
15,8.070044612884525,0.7175,0.0,0.9659075078102157,0.9504546289131213,1.3605970531862164,400
16,8.167328429222108,0.6925,0.0,0.9660442460845416,0.9504166738936125,1.3613238706955006,400
17,8.15880185365677,0.7025,0.0,0.9661611918260508,0.9505533142096784,1.3601259381207798,400
18,8.184242010116575,0.6925,0.0,0.9660568675960619,0.9503921805716103,1.361470395981767,400
19,8.170454740524292,0.695,0.0,0.9661292331068281,0.9505039439654551,1.360534472198491,400
