epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,1.7482816696166992,0.26666666666666666,0.0,0.0812267060200014,0.03341464489744638,9405.320890248446,30
1,1.537974786758423,0.5666666666666667,0.0,0.1710712488199676,0.07070106399282299,4595.170376840302,30
2,1.5126655578613282,0.6333333333333333,0.0,0.1981737908681418,0.15736125916641538,1403.9092825902962,30
3,1.7547334671020507,0.6333333333333333,0.0,0.26620104376962184,0.2310831949882672,653.5822945408377,30
4,1.5088281631469747,0.7333333333333333,0.0,0.32259060980523213,0.2753342313567403,416.23265606753426,30
5,1.6767819404602038,0.7666666666666667,0.0,0.3698596038277928,0.29580242366606085,333.56990085255967,30
6,2.5095589637756373,0.7,0.0,0.43943346140290684,0.33748268174663243,213.65006936530386,30
7,2.5978221893310547,0.7666666666666667,0.0,0.4786323680711184,0.3548735289151769,182.12646427638208,30
8,3.451199150085448,0.6333333333333333,0.0,0.49157188265703977,0.34046884292759416,198.46831522916946,30
9,3.4488917350769053,0.7,0.0,0.5193231218354515,0.35348417356402057,174.19432197982192,30
10,4.664754009246827,0.6666666666666666,0.0,0.5401784784678928,0.34624318055102354,180.62314588098943,30
11,3.5344446182250984,0.7666666666666667,0.0,0.5337654866209501,0.3213741534439704,237.60420929391034,30
12,3.989606475830078,0.7,0.0,0.5448760241602998,0.33225232397200893,226.7524795367353,30
13,4.281657600402832,0.7,0.0,0.5530055203025642,0.30863844503017257,273.01441601624833,30
14,4.542281532287598,0.7,0.0,0.5586501710596484,0.3143343885021038,268.5575201600706,30
15,3.7324464797973667,0.7666666666666667,0.0,0.5544416654054061,0.30667011473374767,306.3996987304339,30
16,3.266794586181641,0.8333333333333334,0.0,0.563404849059333,0.3062758002594338,307.16040994599393,30
17,3.4920038223266636,0.8,0.0,0.5631485856224263,0.3020119429753832,318.74352706009955,30
18,3.702098083496091,0.8333333333333334,0.0,0.5651710247344521,0.3013784276534293,319.65247466779397,30
19,3.7699914932250946,0.8,0.0,0.5596334030579281,0.2992978109670574,337.3506362048452,30
