epoch,canary_id,global_loss,suffix_loss,exact_match,split
0,le_073aa1,6.16403341293335,5.0483574867248535,0,validation
0,he_3c82e8,3.929361581802368,4.70479154586792,0,train
0,he_b6c479,3.779390335083008,4.527382850646973,0,train
0,le_30e20c,4.871219158172607,4.275259971618652,0,validation
0,he_fa06a9,3.8935017585754395,4.721373081207275,0,train
0,he_cea795,3.8875186443328857,4.6363205909729,0,validation
0,he_08e37a,4.374760150909424,5.668929100036621,0,validation
0,le_0a5d4e,3.5747733116149902,3.515604257583618,0,train
0,le_3958a2,6.134552478790283,5.386040210723877,0,validation
0,he_0d9729,5.116885185241699,7.222630023956299,0,validation
0,he_ba5ede,4.069900035858154,5.021248817443848,0,validation
0,le_dfd865,5.0539937019348145,5.010838508605957,0,validation
0,he_5655ff,3.9174368381500244,4.762062072753906,0,train
0,le_7ebcc8,3.588252305984497,2.603041887283325,0,train
0,he_f4a966,3.824575662612915,4.4742608070373535,0,validation
0,le_e5ac33,5.084295272827148,4.979990482330322,0,validation
0,he_72e7fe,4.0998406410217285,5.180183410644531,0,train
0,le_b76165,2.804718017578125,2.6255316734313965,0,train
0,he_427324,4.069000720977783,5.019721031188965,0,validation
0,le_db96c1,5.659440517425537,5.353767395019531,0,validation
0,le_52f6c1,3.993530511856079,3.092219829559326,0,train
0,he_975d5e,3.903822898864746,4.663000583648682,0,validation
0,he_d48ae7,3.7472500801086426,4.4067912101745605,0,train
0,le_ea9d6d,3.3024301528930664,2.5792384147644043,0,train
0,le_53a988,5.497035980224609,5.301383018493652,0,train
0,he_eb2012,4.087384223937988,5.050973415374756,0,validation
0,le_c38bd0,4.59708833694458,3.8008110523223877,0,validation
0,le_5e5ef6,3.8432252407073975,3.1023435592651367,0,train
0,he_576ce7,4.906648635864258,6.828435897827148,0,validation
0,le_ddc92b,4.9178900718688965,4.524476051330566,0,train
0,le_8fa52e,4.470652103424072,3.806731700897217,0,train
0,le_3311e0,4.52890157699585,4.61007022857666,0,validation
0,he_efff46,4.316578388214111,5.440603256225586,0,validation
0,he_9bfb55,4.647886276245117,6.34325647354126,0,validation
0,he_b88cd5,3.784087657928467,4.467071056365967,0,train
