epoch,canary_id,global_loss,suffix_loss,split
0,le_c44e2e,6.181636333465576,5.289884090423584,validation
0,he_611775,6.3513712882995605,5.462634563446045,train
0,he_0e2c17,6.2901482582092285,5.354077339172363,train
0,le_9b6b96,5.544007301330566,5.28680419921875,validation
0,he_d009f1,7.2972941398620605,6.472297668457031,train
0,he_490bf8,6.993955135345459,6.699214458465576,validation
0,he_e6db54,8.567073822021484,8.529524803161621,validation
0,le_786a09,5.545598983764648,5.285028457641602,train
0,le_979129,5.966924667358398,5.346630573272705,validation
0,he_520956,8.658950805664062,8.83804702758789,validation
0,he_9114b4,7.582863807678223,7.627315044403076,validation
0,le_d03c0b,7.0640668869018555,6.739905834197998,validation
0,he_da950d,6.175426959991455,4.839658260345459,train
0,le_42385e,7.2590789794921875,6.7275800704956055,train
0,he_72bffe,6.60103178024292,5.8298234939575195,validation
0,le_66b17a,5.48018217086792,4.2695441246032715,validation
0,he_3caef1,7.465679168701172,6.843482971191406,train
0,le_bdacdd,4.8517069816589355,3.931927442550659,train
0,he_094666,6.644784927368164,5.967678546905518,validation
0,le_325033,5.424840927124023,5.202305793762207,validation
0,le_265eec,5.951860427856445,5.102255344390869,train
0,he_3dd95c,6.146412372589111,5.147055625915527,validation
0,he_5719c5,6.1422953605651855,5.22557258605957,train
0,le_9e01ab,5.853487014770508,5.069901943206787,train
0,le_e7775b,7.772973537445068,7.59254264831543,train
0,he_0ff7e5,6.501896381378174,5.776241302490234,validation
0,le_4f5ca5,5.535155296325684,4.3539276123046875,validation
0,le_e92161,5.394724369049072,4.4498372077941895,train
0,he_4dd41d,7.6807451248168945,7.528330326080322,validation
0,le_ac9a32,5.391250133514404,5.315760612487793,train
0,le_f47507,7.334752559661865,6.457537651062012,train
0,le_1b2e2e,6.508441925048828,6.87172794342041,validation
0,he_f1ddee,7.413117408752441,7.227364540100098,validation
0,he_20c66e,7.928016662597656,8.184313774108887,validation
0,he_d9e657,6.808201313018799,6.242847442626953,train
0,le_c7fae9,6.072761535644531,5.554495334625244,validation
0,le_2cbde1,6.109224796295166,4.900247573852539,validation
0,le_8600d3,6.438457489013672,5.342528820037842,validation
0,he_fe77f8,6.792330741882324,6.148813247680664,validation
0,he_b6513e,7.099030017852783,6.857719421386719,train
0,le_9ae19b,5.246676921844482,4.686824321746826,train
0,he_1ab8a0,6.760293960571289,6.052385330200195,validation
0,he_28b2c7,6.372275352478027,5.592128276824951,train
0,he_79900a,6.5262861251831055,5.70524787902832,train
0,he_0d8a2c,6.01541805267334,5.074406623840332,validation
0,le_3b678f,6.892181396484375,5.940278053283691,train
0,le_cb42fb,5.528354167938232,5.122558116912842,validation
0,he_ba9cfe,6.539022445678711,5.739927291870117,train
0,he_b77aa3,6.41377592086792,5.68209981918335,train
0,he_171c17,6.463083744049072,5.753527641296387,validation
0,le_f84204,6.4768571853637695,4.711671352386475,validation
0,le_236d37,5.530393123626709,5.11258602142334,train
0,le_21ef4a,5.550161361694336,5.1728105545043945,train
0,he_a9191b,6.01329231262207,5.036923885345459,train
0,le_6d19bc,6.356207370758057,5.9575982093811035,validation
0,le_25b2b2,6.811953544616699,6.1073527336120605,train
0,he_c32f11,7.291995048522949,6.898748874664307,train
0,le_e42cfd,6.932609558105469,6.394461631774902,train
0,le_39bfed,6.614190578460693,5.9992170333862305,validation
0,he_99c662,7.25615930557251,6.88007116317749,train
1,le_c44e2e,6.1204833984375,5.269288063049316,validation
1,he_611775,6.474410533905029,5.506990432739258,train
1,he_0e2c17,6.450450420379639,5.511712551116943,train
1,le_9b6b96,5.431372165679932,5.096684455871582,validation
1,he_d009f1,7.661632061004639,6.961616039276123,train
1,he_490bf8,7.215641021728516,6.897494316101074,validation
1,he_e6db54,8.949318885803223,9.020513534545898,validation
1,le_786a09,5.332988262176514,5.218396186828613,train
1,le_979129,6.096774101257324,5.514884948730469,validation
1,he_520956,9.010375022888184,9.254319190979004,validation
1,he_9114b4,7.82066535949707,7.898580074310303,validation
1,le_d03c0b,7.14597749710083,6.93182373046875,validation
1,he_da950d,6.402772426605225,5.044606685638428,train
1,le_42385e,7.525638103485107,6.974747657775879,train
1,he_72bffe,6.969795227050781,6.2848663330078125,validation
1,le_66b17a,5.433925151824951,4.179126262664795,validation
1,he_3caef1,7.680819034576416,6.959681034088135,train
1,le_bdacdd,4.833117485046387,3.9169318675994873,train
1,he_094666,6.832263469696045,6.112590789794922,validation
1,le_325033,5.568305015563965,5.455481052398682,validation
1,le_265eec,5.915867805480957,5.223613739013672,train
1,he_3dd95c,6.279735565185547,5.212160110473633,validation
1,he_5719c5,6.30571985244751,5.319559097290039,train
1,le_9e01ab,5.750049591064453,4.9459733963012695,train
1,le_e7775b,7.761703968048096,7.621248245239258,train
1,he_0ff7e5,6.530511856079102,5.665369510650635,validation
1,le_4f5ca5,5.495741367340088,4.379012107849121,validation
1,le_e92161,5.514747142791748,4.571177959442139,train
1,he_4dd41d,7.834025859832764,7.568637371063232,validation
1,le_ac9a32,5.506779193878174,5.477473735809326,train
1,le_f47507,7.531458377838135,6.656602382659912,train
1,le_1b2e2e,6.685678482055664,6.963714599609375,validation
1,he_f1ddee,7.6140828132629395,7.436642169952393,validation
1,he_20c66e,8.178956985473633,8.428669929504395,validation
1,he_d9e657,6.87639856338501,6.185210704803467,train
1,le_c7fae9,5.92033052444458,5.42268705368042,validation
1,le_2cbde1,6.1952290534973145,4.96250057220459,validation
1,le_8600d3,6.635866165161133,5.6503167152404785,validation
1,he_fe77f8,6.912098407745361,6.206381320953369,validation
1,he_b6513e,7.173040866851807,6.834311485290527,train
1,le_9ae19b,5.285809516906738,4.6646199226379395,train
1,he_1ab8a0,6.972938537597656,6.2036590576171875,validation
1,he_28b2c7,6.576286792755127,5.773103713989258,train
1,he_79900a,6.7201247215271,5.868749141693115,train
1,he_0d8a2c,6.116030693054199,5.1053571701049805,validation
1,le_3b678f,7.023600101470947,6.139219284057617,train
1,le_cb42fb,5.760805606842041,5.345933437347412,validation
1,he_ba9cfe,6.682804584503174,5.768462181091309,train
1,he_b77aa3,6.581322193145752,5.809675216674805,train
1,he_171c17,6.68902063369751,5.965659141540527,validation
1,le_f84204,6.4115166664123535,4.674596309661865,validation
1,le_236d37,5.759079456329346,5.394861698150635,train
1,le_21ef4a,5.8208537101745605,5.449034214019775,train
1,he_a9191b,6.111935138702393,5.0697526931762695,train
