epoch,canary_id,global_loss_tgt,suffix_loss_tgt,exact_match,split,suffix_loss_ref,global_loss_ref,loss_optimum,mia_score,counterfactual_score,contextual_score
0,le_073aa1,5.033005714416504,4.757691860198975,0,validation,4.913918495178223,5.236846923828125,4.913918495178223,0.15622663497924805,0.03179267933168718,0.03179267933168718
0,he_3c82e8,4.788118362426758,5.3636884689331055,0,train,5.549205780029297,6.075125217437744,5.310965538024902,0.1855173110961914,0.0334313266528768,0.0
0,he_b6c479,4.755458354949951,5.264115333557129,0,train,5.910169124603272,6.325036525726318,5.910169124603272,0.6460537910461435,0.10931223412147459,0.10931223412147459
0,le_30e20c,4.597293376922607,4.1487016677856445,0,validation,3.948251247406006,4.4243245124816895,3.948251247406006,-0.20045042037963867,0.0,0.0
0,he_fa06a9,5.2219014167785645,5.882839679718018,0,train,6.2873148918151855,6.908047199249268,6.2873148918151855,0.40447521209716797,0.06433194758921858,0.06433194758921858
0,he_cea795,5.3054280281066895,6.551863193511963,0,validation,5.969500541687012,6.218930244445801,5.969500541687012,-0.5823626518249512,0.0,0.0
0,he_08e37a,5.978190898895264,7.203491687774658,0,validation,7.04193925857544,7.365732192993164,7.04193925857544,-0.16155242919921786,0.0,0.0
0,le_0a5d4e,4.404405117034912,4.81185245513916,0,train,5.08531379699707,4.725387096405029,5.08531379699707,0.27346134185791016,0.05377472320771864,0.05377472320771864
0,le_3958a2,4.772158145904541,4.447054386138916,0,validation,4.421264171600342,4.719778060913086,4.421264171600342,-0.02579021453857422,0.0,0.0
0,he_0d9729,6.943428039550781,9.019383430480955,0,validation,8.858963012695312,8.322421073913574,8.858963012695312,-0.16042041778564275,0.0,0.0
0,he_ba5ede,5.765381813049316,7.566267967224121,0,validation,7.153882026672363,6.899900436401367,7.153882026672363,-0.4123859405517578,0.0,0.0
0,le_dfd865,6.585824489593506,6.29378604888916,0,validation,6.482993125915527,6.740837574005127,6.482993125915527,0.1892070770263672,0.029185142317985628,0.029185142317985628
0,he_5655ff,4.741544246673584,5.230507373809815,0,train,5.85329532623291,6.305495738983154,5.85329532623291,0.6227879524230948,0.10639954379747851,0.10639954379747851
0,le_7ebcc8,6.767085075378418,5.981725692749023,0,train,6.6349921226501465,7.41121244430542,6.6349921226501465,0.653266429901123,0.09845775516010644,0.09845775516010644
0,he_f4a966,5.273568153381348,6.117214679718018,0,validation,5.695533275604248,6.194172382354736,5.695533275604248,-0.42168140411376953,0.0,0.0
0,le_e5ac33,5.524254322052002,4.3895263671875,0,validation,4.443385124206543,5.627737045288086,4.443385124206543,0.05385875701904297,0.01212110935998611,0.01212110935998611
0,he_72e7fe,5.335953712463379,5.874814510345459,0,train,6.535774230957031,6.985596179962158,6.535774230957031,0.6609597206115723,0.10112952150043716,0.10112952150043716
0,le_b76165,3.5760951042175293,3.41492247581482,0,train,3.740783929824829,3.841902494430542,3.740783929824829,0.3258614540100093,0.087110472062274,0.087110472062274
0,he_427324,4.847166061401367,5.448212146759033,0,validation,5.530412197113037,6.078432559967041,5.51378059387207,0.0822000503540039,0.014863277351535142,0.01189174033981491
0,le_db96c1,4.898635387420654,4.686112403869629,0,validation,4.544117450714111,4.782098293304443,4.544117450714111,-0.14199495315551758,0.0,0.0
0,le_52f6c1,4.246321201324463,3.7244410514831534,0,train,3.96016263961792,4.576502323150635,3.96016263961792,0.2357215881347665,0.05952320891485132,0.05952320891485132
0,he_975d5e,4.511391639709473,4.698209762573242,0,validation,4.6523284912109375,5.593611717224121,4.435199737548828,-0.04588127136230469,0.0,0.0
0,he_d48ae7,4.722068309783936,5.253602981567383,0,train,5.534934043884277,6.066561698913574,5.443788528442383,0.28133106231689453,0.05082825921435253,0.03493624814434467
0,le_ea9d6d,5.596305847167969,4.482666492462158,0,train,4.743010997772217,5.840600490570068,4.743010997772217,0.2603445053100586,0.0548901331732821,0.0548901331732821
0,le_53a988,6.518657207489014,6.454081535339356,0,train,6.846028804779053,6.8320183753967285,6.846028804779053,0.3919472694396964,0.05725177042288913,0.05725177042288913
0,he_eb2012,5.689486503601074,7.091151714324951,0,validation,6.919457912445068,6.859978199005127,6.919457912445068,-0.1716938018798828,0.0,0.0
0,le_c38bd0,5.0791425704956055,4.527894496917725,0,validation,4.448902130126953,4.9763712882995605,4.448902130126953,-0.07899236679077148,0.0,0.0
0,le_5e5ef6,5.458757400512695,4.766426086425781,0,train,5.048308372497559,5.736528873443604,5.048308372497559,0.28188228607177734,0.05583697850302303,0.05583697850302303
0,he_576ce7,6.1475019454956055,7.860741138458252,0,validation,8.071669578552246,7.6128435134887695,8.071669578552246,0.21092844009399414,0.026131946809922164,0.026131946809922164
0,le_ddc92b,4.94832181930542,4.917094707489014,0,train,5.210866451263428,5.113708019256592,5.210866451263428,0.29377174377441406,0.05637675548241811,0.05637675548241811
0,le_8fa52e,6.332362651824951,5.210257530212402,0,train,5.5181145668029785,6.6103715896606445,5.5181145668029785,0.30785703659057617,0.05579025822382278,0.05579025822382278
0,le_3311e0,4.220511436462402,4.723482608795166,0,validation,4.461740016937256,4.040550708770752,4.461740016937256,-0.26174259185791016,0.0,0.0
0,he_efff46,5.664386749267578,6.94566535949707,0,validation,7.033890247344971,6.965546131134033,7.033890247344971,0.08822488784790039,0.01254282974932712,0.01254282974932712
0,he_9bfb55,6.375024318695068,7.856533050537109,0,validation,7.880496978759766,7.930193424224853,7.8285393714904785,0.02396392822265625,0.0030409158568610603,0.0
