epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,0.4472261905670159,0.7666666666666667,0.0,0.11918300532939737,0.10888444498067072,112.53966194741173,30
1,0.3211725234985352,1.0,0.0,0.20184989973931936,0.1862369406980226,75.44934776218113,30
2,0.5192358016967775,1.0,0.0,0.3016613294444068,0.2635796225487232,50.42291268647584,30
3,0.7729887962341309,1.0,0.0,0.4136522197506096,0.3452738376172097,32.77012494509212,30
4,0.8260095596313477,1.0,0.0,0.5160479711956661,0.43534958427717124,20.487759459389576,30
5,0.7477483749389652,1.0,0.0,0.6224262432974812,0.5353337519852925,11.987106029014251,30
6,0.7891415596008301,1.0,0.0,0.7125495519596555,0.6333983604834966,7.113424815729405,30
7,0.6331749439239506,1.0,0.0,0.7549797710639876,0.676286925398807,5.64117095571048,30
8,0.7042560100555422,1.0,0.0,0.8030617912973513,0.7341514854239019,4.157506454533762,30
9,0.716732788085938,1.0,0.0,0.8325686171752029,0.770084585923152,3.466396384024068,30
10,0.7784967422485354,1.0,0.0,0.8541378600440175,0.7980765354512394,2.984304842121073,30
11,0.8482944011688233,1.0,0.0,0.8680470496750645,0.814544475668626,2.734840621412903,30
12,0.8352466583251955,1.0,0.0,0.8739293669958003,0.821576333781953,2.6340474683583404,30
13,0.8571796417236329,1.0,0.0,0.8786671425196777,0.8269322040040902,2.5593950801110563,30
14,0.9161088466644289,1.0,0.0,0.8859240876104639,0.837090075380895,2.4251637335416008,30
15,0.9172834396362307,1.0,0.0,0.8855577601888659,0.8358339233249696,2.4419074991019185,30
16,0.9049450397491456,1.0,0.0,0.8883745442090888,0.8395000328059511,2.3953314352583464,30
17,0.9382077217102053,1.0,0.0,0.8904145006561079,0.8421479026682221,2.3612520435753126,30
18,0.8940859317779543,1.0,0.0,0.89009994627111,0.8415509161099973,2.369575375063102,30
19,0.9364274501800539,1.0,0.0,0.8899462888093728,0.841286565684657,2.3714566140036966,30
