epoch,mia_threshold_tau,mia_recall,avg_counterfactual_score,avg_contextual_score,n_train_samples
0,0.15080118179321295,0.5666666666666667,0.02980388962902567,0.020932453987086968,30
1,0.28708629608154296,0.9,0.07601361774775654,0.05696714076323107,30
2,0.30802111625671397,0.9333333333333333,0.10774905467043958,0.08449913010110292,30
3,0.37900724411010744,0.9333333333333333,0.13713686607298292,0.10482247977330297,30
4,0.46324715614318845,0.9,0.16441707682229464,0.1227243963029545,30
5,0.46151432991027835,0.9333333333333333,0.18585408243526882,0.13766604712727695,30
6,0.5156568050384521,0.9,0.20423148273795091,0.14820155317957712,30
7,0.4800837039947511,0.9333333333333333,0.22019340263322523,0.16062899522453178,30
8,0.5204392433166504,0.9333333333333333,0.2348024417462997,0.1693875720710024,30
9,0.5108351230621339,0.9333333333333333,0.24610128987553823,0.17842177115768224,30
10,0.5479268074035647,0.9333333333333333,0.26033283245591127,0.1904410979468812,30
11,0.5268953800201418,0.9333333333333333,0.2669241623460633,0.19487313840093576,30
12,0.5897929668426524,0.9333333333333333,0.2769951068297099,0.20074886839781036,30
13,0.6208291053771974,0.9333333333333333,0.28591609670659374,0.20757074296854197,30
14,0.6079137325286859,0.9333333333333333,0.2885605876265752,0.21004819720563167,30
15,0.6234722137451174,0.9333333333333333,0.29501279620227516,0.21451474408837556,30
16,0.6296868324279787,0.9333333333333333,0.2969567679740002,0.2170188442619275,30
17,0.6286469459533693,0.9333333333333333,0.2986846979585851,0.21812986839292584,30
18,0.6375367641448977,0.9333333333333333,0.299947047807728,0.218745894663067,30
19,0.6375367641448977,0.9333333333333333,0.299947047807728,0.218745894663067,30
