epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,0.11029734611511231,0.03333333333333333,0.0,0.007217362104297363,0.0054689360688072175,213.13890796895774,30
1,0.12844133377075198,0.2,0.0,0.012574160440735178,0.004950219171544774,218.86407714343284,30
2,0.1311644554138184,0.13333333333333333,0.0,0.011089279999985288,0.005595868246661761,220.33708471251506,30
3,0.19314465522766117,0.13333333333333333,0.0,0.015214150335336376,0.005640273696200953,226.20144560783504,30
4,0.1548292636871338,0.2,0.0,0.0163513570521836,0.00544916380561956,225.12125520308675,30
5,0.18343472480773926,0.23333333333333334,0.0,0.020936974376324857,0.005577022368579215,229.14180351798655,30
6,0.18084731101989748,0.3,0.0,0.024137840856996266,0.005448417146153627,227.56096585724703,30
7,0.2287281513214112,0.16666666666666666,0.0,0.023793923666279613,0.0064595925223717415,231.77287697307372,30
8,0.22746920585632324,0.16666666666666666,0.0,0.022757211780673754,0.005525642617678039,230.8539180219998,30
9,0.19109272956848147,0.2,0.0,0.022487325008858024,0.005800141887113585,234.16126940953922,30
10,0.2270164489746095,0.2,0.0,0.022684375207524074,0.005982551163415483,233.4679173719218,30
11,0.2461430072784426,0.16666666666666666,0.0,0.025115718370866468,0.004934764661422923,237.51813689856212,30
12,0.2525137424468994,0.23333333333333334,0.0,0.02428378468190592,0.006878628237079798,236.22727177470276,30
13,0.2535315036773681,0.23333333333333334,0.0,0.024180593655138905,0.006572899550369345,237.58723778236964,30
14,0.28173289299011317,0.23333333333333334,0.0,0.030218203129884547,0.00755279725989467,234.00606023757345,30
15,0.2794326305389405,0.16666666666666666,0.0,0.029717211623661522,0.006689744831257533,239.2557421112253,30
16,0.2796794414520264,0.1,0.0,0.024014570785144296,0.005635722581060344,238.87971184442145,30
17,0.2640746593475342,0.2,0.0,0.026604612480382855,0.006039081376777178,239.3482723595094,30
18,0.29087529182434085,0.2,0.0,0.026075686266829032,0.006527061775594012,239.65787736373161,30
19,0.28688430786132746,0.13333333333333333,0.0,0.025920087525103417,0.006031437970293251,240.4698009517008,30
