epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,1.5057905673980714,0.26666666666666666,0.0,0.1451264879302691,0.13609781895362363,369.0680700879757,30
1,1.1042344808578495,0.7666666666666667,0.0,0.23454342542193254,0.15979628146898384,318.5058470412469,30
2,1.7434202194213853,0.7333333333333333,0.0,0.33753826430953626,0.17754501969837186,289.1006877375031,30
3,2.116005706787112,0.9333333333333333,0.0,0.4091982137383368,0.19145008646103107,286.1278116834769,30
4,3.235601806640626,0.9333333333333333,0.0,0.5180672718936657,0.23793284411307472,202.4349768406904,30
5,3.3056869506835946,1.0,0.0,0.593147660452715,0.2763596880698118,143.87988252715797,30
6,3.5657078742980968,1.0,0.0,0.6327242569421506,0.28771001131175716,131.67508843618094,30
7,2.7035135269165065,1.0,0.0,0.6642265399824994,0.3096285176265825,112.34097051506664,30
8,2.6548791885375977,1.0,0.0,0.6844376179062494,0.34689398199367566,85.02801201938796,30
9,4.302325916290283,1.0,0.0,0.6850053996237943,0.3387216372899095,93.37096485440662,30
10,3.742744731903077,1.0,0.0,0.6984953720152114,0.35209234649804366,80.66060438093994,30
11,4.111774921417237,1.0,0.0,0.7056127631736042,0.35200824061603453,79.83036759404774,30
12,4.364903926849365,1.0,0.0,0.7101166594958297,0.3661040779165569,76.84840312627688,30
13,3.6933482170104983,1.0,0.0,0.7060920251150572,0.3557367214424821,81.97780590177588,30
14,4.246085929870604,1.0,0.0,0.7008726726890984,0.3341497271752081,94.5345220292978,30
15,3.63152961730957,1.0,0.0,0.7073484612226537,0.33863718316192765,86.73306850969557,30
16,3.7168035507202184,1.0,0.0,0.7046196783248304,0.3327379032276187,93.57310597739014,30
17,3.764194297790528,1.0,0.0,0.7033116678848736,0.33047783212395176,97.37723066619496,30
18,4.114644813537602,1.0,0.0,0.7079406702856489,0.3375933794046337,92.31681809250095,30
19,3.9856865882873533,1.0,0.0,0.7046274742391305,0.332246797447201,92.97977637432969,30
